threshold,roc_auc,average_precision,balanced_accuracy,f1_positive,precision_positive,recall_positive,specificity_negative,tp,fp,tn,fn,task,model,split
0.5,0.5,0.09090909090909091,0.5,0.0,0.0,0.0,1.0,0,0,30,3,primary_flare_vs_managed_sle,dummy_prior,1
0.5,0.5,0.09090909090909091,0.5,0.0,0.0,0.0,1.0,0,0,30,3,primary_flare_vs_managed_sle,dummy_prior,2
0.5,0.5,0.0625,0.5,0.0,0.0,0.0,1.0,0,0,30,2,primary_flare_vs_managed_sle,dummy_prior,3
0.5,0.5,0.09375,0.5,0.0,0.0,0.0,1.0,0,0,29,3,primary_flare_vs_managed_sle,dummy_prior,4
0.5,0.5,0.09375,0.5,0.0,0.0,0.0,1.0,0,0,29,3,primary_flare_vs_managed_sle,dummy_prior,5
0.5,0.5,0.09090909090909091,0.5,0.0,0.0,0.0,1.0,0,0,30,3,primary_flare_vs_managed_sle,dummy_prior,6
0.5,0.5,0.09090909090909091,0.5,0.0,0.0,0.0,1.0,0,0,30,3,primary_flare_vs_managed_sle,dummy_prior,7
0.5,0.5,0.0625,0.5,0.0,0.0,0.0,1.0,0,0,30,2,primary_flare_vs_managed_sle,dummy_prior,8
0.5,0.5,0.09375,0.5,0.0,0.0,0.0,1.0,0,0,29,3,primary_flare_vs_managed_sle,dummy_prior,9
0.5,0.5,0.09375,0.5,0.0,0.0,0.0,1.0,0,0,29,3,primary_flare_vs_managed_sle,dummy_prior,10
0.5,0.5,0.09090909090909091,0.5,0.0,0.0,0.0,1.0,0,0,30,3,primary_flare_vs_managed_sle,dummy_prior,11
0.5,0.5,0.09090909090909091,0.5,0.0,0.0,0.0,1.0,0,0,30,3,primary_flare_vs_managed_sle,dummy_prior,12
0.5,0.5,0.0625,0.5,0.0,0.0,0.0,1.0,0,0,30,2,primary_flare_vs_managed_sle,dummy_prior,13
0.5,0.5,0.09375,0.5,0.0,0.0,0.0,1.0,0,0,29,3,primary_flare_vs_managed_sle,dummy_prior,14
0.5,0.5,0.09375,0.5,0.0,0.0,0.0,1.0,0,0,29,3,primary_flare_vs_managed_sle,dummy_prior,15
0.5071171759632663,0.7888888888888889,0.4714285714285714,0.8166666666666667,0.35294117647058826,0.21428571428571427,1.0,0.6333333333333333,3,11,19,0,primary_flare_vs_managed_sle,artifact_proxy_mean_std_norm_logreg,1
0.5219540795054135,0.9222222222222223,0.47619047619047616,0.8333333333333333,0.375,0.23076923076923078,1.0,0.6666666666666666,3,10,20,0,primary_flare_vs_managed_sle,artifact_proxy_mean_std_norm_logreg,2
0.5145300182818983,0.5333333333333333,0.10101010101010101,0.38333333333333336,0.0,0.0,0.0,0.7666666666666667,0,7,23,2,primary_flare_vs_managed_sle,artifact_proxy_mean_std_norm_logreg,3
0.5,0.7011494252873562,0.2657004830917874,0.5919540229885057,0.21052631578947367,0.125,0.6666666666666666,0.5172413793103449,2,14,15,1,primary_flare_vs_managed_sle,artifact_proxy_mean_std_norm_logreg,4
0.5117611836179398,0.8390804597701149,0.35,0.8275862068965517,0.375,0.23076923076923078,1.0,0.6551724137931034,3,10,19,0,primary_flare_vs_managed_sle,artifact_proxy_mean_std_norm_logreg,5
0.50522078372081,0.5555555555555556,0.1648148148148148,0.4666666666666667,0.125,0.07692307692307693,0.3333333333333333,0.6,1,12,18,2,primary_flare_vs_managed_sle,artifact_proxy_mean_std_norm_logreg,6
0.5341330539871213,0.9111111111111111,0.4111111111111111,0.7833333333333333,0.3157894736842105,0.1875,1.0,0.5666666666666667,3,13,17,0,primary_flare_vs_managed_sle,artifact_proxy_mean_std_norm_logreg,7
0.4785330064832837,0.6166666666666667,0.12406015037593984,0.6,0.16666666666666666,0.1,0.5,0.7,1,9,21,1,primary_flare_vs_managed_sle,artifact_proxy_mean_std_norm_logreg,8
0.5132781969537735,0.9770114942528736,0.8666666666666667,0.8793103448275862,0.46153846153846156,0.3,1.0,0.7586206896551724,3,7,22,0,primary_flare_vs_managed_sle,artifact_proxy_mean_std_norm_logreg,9
0.571098784516105,0.7471264367816092,0.22086247086247085,0.5804597701149425,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.8275862068965517,1,5,24,2,primary_flare_vs_managed_sle,artifact_proxy_mean_std_norm_logreg,10
0.5112626400320858,0.8111111111111111,0.3269230769230769,0.8166666666666667,0.35294117647058826,0.21428571428571427,1.0,0.6333333333333333,3,11,19,0,primary_flare_vs_managed_sle,artifact_proxy_mean_std_norm_logreg,11
0.4720979735576771,0.7555555555555555,0.29444444444444445,0.7166666666666667,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.7666666666666667,2,7,23,1,primary_flare_vs_managed_sle,artifact_proxy_mean_std_norm_logreg,12
0.6327712228032535,0.7166666666666666,0.14646464646464646,0.4,0.0,0.0,0.0,0.8,0,6,24,2,primary_flare_vs_managed_sle,artifact_proxy_mean_std_norm_logreg,13
0.5,0.7701149425287357,0.601010101010101,0.6781609195402298,0.2857142857142857,0.18181818181818182,0.6666666666666666,0.6896551724137931,2,9,20,1,primary_flare_vs_managed_sle,artifact_proxy_mean_std_norm_logreg,14
