threshold,roc_auc,average_precision,balanced_accuracy,f1_positive,precision_positive,recall_positive,specificity_negative,tp,fp,tn,fn,task,model,split,threshold_policy
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,30,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,1,default_0.50
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,30,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,1,max_balanced_accuracy_train
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,30,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,1,target_specificity_0.99
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,30,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,1,target_specificity_0.95
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,30,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,1,target_specificity_0.90
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0,30,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,1,target_recall_0.80
0.5,1.0,1.0,0.9833333333333334,0.8571428571428571,0.75,1.0,0.9666666666666667,3,1,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,2,default_0.50
0.5,1.0,1.0,0.9833333333333334,0.8571428571428571,0.75,1.0,0.9666666666666667,3,1,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,2,max_balanced_accuracy_train
0.5,1.0,1.0,0.9833333333333334,0.8571428571428571,0.75,1.0,0.9666666666666667,3,1,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,2,target_specificity_0.99
0.5,1.0,1.0,0.9833333333333334,0.8571428571428571,0.75,1.0,0.9666666666666667,3,1,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,2,target_specificity_0.95
0.5,1.0,1.0,0.9833333333333334,0.8571428571428571,0.75,1.0,0.9666666666666667,3,1,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,2,target_specificity_0.90
0.5,1.0,1.0,0.9833333333333334,0.8571428571428571,0.75,1.0,0.9666666666666667,3,1,29,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,2,target_recall_0.80
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0,30,0,primary_flare_vs_managed_sle,mean_pca20_logreg_balanced,3,default_0.50
